Milestones;;;;;;Phases;;;;;;Tasks;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;M.Name;M.StartDate;M.EndDate;Previous.M;Next.M;N;P.Name;P.StartDate;P.EndDate;P.Previous;P.Requirements;T.Name;ID;T.Start;T.End;T.Duration;T.Men;T.Previous;T.Team;4DObject;T.Level;ObjectsCount;T.Zone;T.describtion;T.State;Constraint;Information;Materials;Man Power;Equipement;Safety;Space;TeamName;TeamColor;T.Boss;T.BossMail;T.BossPhone;;Holidays
;;;;;;;;;;;;Pose File 0;111;jeudi 17 décembre 2020;mercredi 20 janvier 2021;15;5;105;EqA;400654,415121,415490,415688,417609,417747,504509,504630;Etage Bleu;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;mercredi 30 décembre 2020
;;;;;;4;Travaux File 18;vendredi 25 septembre 2020;mardi 09 février 2021;1;Requirements Exemple Text;Echafaudage 1;112;vendredi 25 septembre 2020;jeudi 01 octobre 2020;5;4;104;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;jeudi 31 décembre 2020
;;;;;;;;;;;;Dépose couvertines;113;jeudi 01 octobre 2020;vendredi 02 octobre 2020;2;4;112;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;vendredi 01 janvier 2021
;;;;;;;;;;;;Dépose des scotchs 1;114;vendredi 02 octobre 2020;mardi 06 octobre 2020;3;4;113;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;samedi 02 janvier 2021
;;;;;;;;;;;;Solidarisation des panneaux sur structures;115;mardi 06 octobre 2020;lundi 26 octobre 2020;15;4;114;EqA;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;dimanche 03 janvier 2021
;;;;;;;;;;;;Injection résine appuis panneaux;116;mercredi 28 octobre 2020;mercredi 09 décembre 2020;30;4;115;EqB;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;lundi 05 avril 2021
;;;;;;;;;;;;Rebouchage mortier et pose de scotch;117;mercredi 09 décembre 2020;mardi 05 janvier 2021;10;5;116;EqB;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;jeudi 13 mai 2021
;;;;;;;;;;;;Nettoyage façade - Réfections ponctuelles - Aérogommage;118;mardi 05 janvier 2021;lundi 25 janvier 2021;15;4;117;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;lundi 24 mai 2021
;;;;;;;;;;;;Pose couvertines et bardage 1;119;mercredi 20 janvier 2021;lundi 25 janvier 2021;4;4;117;EqA;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peintures/Lasure;120;jeudi 21 janvier 2021;mercredi 03 février 2021;10;4;118,119;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose échaffaudage et nettoyage;121;mercredi 03 février 2021;mardi 09 février 2021;5;4;120;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;5;Renforcement panneaux ajourés;lundi 28 septembre 2020;mardi 27 octobre 2020;2;Requirements Exemple Text;Etaiement;122;lundi 28 septembre 2020;vendredi 02 octobre 2020;5;4;104;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose des scotchs 2;123;jeudi 01 octobre 2020;vendredi 02 octobre 2020;2;4;122;EqC;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Remplacement des platines;124;lundi 05 octobre 2020;vendredi 16 octobre 2020;10;4;123;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peinture intumescente 1;125;lundi 19 octobre 2020;mercredi 21 octobre 2020;3;4;124;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Pose couvertines et bardage 2;126;jeudi 22 octobre 2020;vendredi 23 octobre 2020;2;4;125;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Capotage 1;127;lundi 26 octobre 2020;mardi 27 octobre 2020;2;4;126;EqD;;Etage Bleu;;A;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;6;Travaux File 0;lundi 08 février 2021;mercredi 17 mars 2021;4;Requirements Exemple Text;Echafaudage 2;128;lundi 08 février 2021;vendredi 12 février 2021;5;4;121;EqC;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Aérogommage-Réfections ponctuelles;129;lundi 15 février 2021;mardi 23 février 2021;7;4;128;EqD;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Renforcement des appuis-Mise en oeuvre UPE;130;mardi 23 février 2021;mercredi 03 mars 2021;7;4;129;EqA;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Renforcement des façades - Equerres;131;mercredi 03 mars 2021;mardi 16 mars 2021;10;5;130;EqA;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peinture intumescente 2;132;mercredi 10 mars 2021;mardi 16 mars 2021;5;4;130;EqD;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Capotage 2;133;mardi 16 mars 2021;mercredi 17 mars 2021;2;4;131,132;EqD;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;7;Renforcement local et espace technique;mercredi 17 mars 2021;vendredi 02 avril 2021;4;Requirements Exemple Text;Equerres;134;mercredi 17 mars 2021;vendredi 19 mars 2021;3;4;133;EqA;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peinture intumescente 3;135;lundi 22 mars 2021;mardi 23 mars 2021;2;4;134;EqD;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Mise en oeuvre de mortier joints horizontaux;136;mardi 23 mars 2021;jeudi 25 mars 2021;3;4;135;EqA;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Remplacement des joints Verticaux;137;mercredi 24 mars 2021;jeudi 25 mars 2021;2;4;135;EqA;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peinture/lasure-Capotage;138;jeudi 25 mars 2021;mercredi 31 mars 2021;5;4;136,137;EqD;;Etage Bleu;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose échaffaudage File 0 et nettoyage;139;jeudi 01 avril 2021;vendredi 02 avril 2021;2;4;138;EqC;;Toiture;;B;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;8;Travaux File 1;lundi 05 avril 2021;mercredi 07 avril 2021;6,7;Requirements Exemple Text;Dépose couvertines-Relevés d'étanchéité-Batardeaux-Protections;140;lundi 05 avril 2021;mercredi 07 avril 2021;2;4;139;EqC;;Toiture;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;9;Renforcement des panneaux;mercredi 07 avril 2021;mercredi 12 mai 2021;7;Requirements Exemple Text;Stabilisation provisoire 1;141;mercredi 07 avril 2021;vendredi 09 avril 2021;3;4;140;EqB;;Toiture;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose des scotchs 3;142;lundi 12 avril 2021;mercredi 14 avril 2021;3;4;141;EqC;;Toiture;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Mise en oeuvre des équerres et des profilés;143;mercredi 14 avril 2021;mardi 27 avril 2021;10;5;142;EqA;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Joints mortier;144;mardi 27 avril 2021;vendredi 30 avril 2021;4;4;143;EqA;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Traitement des joints Verticaux 1;145;lundi 03 mai 2021;jeudi 06 mai 2021;4;4;144;EqA;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Réfection étanchéité;146;jeudi 06 mai 2021;mercredi 12 mai 2021;5;4;145;EqB;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;10;Renforcement des panneaux des patios entre File 1 et 0;mercredi 12 mai 2021;mardi 18 mai 2021;9;Requirements Exemple Text;Stabilisation provisoire 2;147;mercredi 12 mai 2021;vendredi 14 mai 2021;3;4;146;EqB;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose des structures existantes;148;vendredi 14 mai 2021;mardi 18 mai 2021;3;4;147;EqC;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;11;Renforcement des paliers;lundi 17 mai 2021;vendredi 04 juin 2021;10;Requirements Exemple Text;Mise en oeuvre profilés-Chevillage;149;lundi 17 mai 2021;vendredi 21 mai 2021;5;4;148;EqA;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Peinture intumescente 4;150;lundi 24 mai 2021;mercredi 26 mai 2021;3;4;149;EqD;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Traitement des joints Verticaux 2;151;mercredi 26 mai 2021;vendredi 28 mai 2021;3;4;150;EqA;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose échaffaudage entre File 0 et 1;152;vendredi 28 mai 2021;vendredi 28 mai 2021;1;4;151;EqC;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Travaux sur paliers dalles escaliers extérieurs;153;lundi 31 mai 2021;vendredi 04 juin 2021;5;4;152;EqD;;Etage Rouge;;C;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;12;Travaux sur entrée de garage;lundi 05 avril 2021;vendredi 30 avril 2021;4;Requirements Exemple Text;Travaux préparatoires - Déposes diverses;154;lundi 05 avril 2021;mercredi 07 avril 2021;2;4;139;EqC;;Etage Rouge;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Dépose des finitions et protections lourdes;155;mercredi 07 avril 2021;jeudi 08 avril 2021;2;4;154;EqC;;Etage Rouge;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Création de relevés BA;156;jeudi 08 avril 2021;mercredi 14 avril 2021;5;4;155;EqB;;Etage Rouge;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Création EP - Carottage;157;jeudi 15 avril 2021;vendredi 16 avril 2021;2;4;156;EqB;;Etage Rouge;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Forme de pente;158;lundi 19 avril 2021;lundi 19 avril 2021;1;2;157;EqD;;Etage Jaune;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Etanchéité;159;lundi 19 avril 2021;vendredi 23 avril 2021;5;4;158;EqD;;Etage Jaune;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Traitement JD;160;vendredi 23 avril 2021;lundi 26 avril 2021;2;4;159;EqD;;Etage Jaune;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Raccordement des EP;161;mardi 27 avril 2021;mardi 27 avril 2021;1;4;160;EqD;;Etage Jaune;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Protection lourde Finition asphalte-Bordures;162;mercredi 28 avril 2021;vendredi 30 avril 2021;3;4;161;EqB;;Etage Jaune;;D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;13;Réparation des ouvrages BA;lundi 03 mai 2021;mardi 18 mai 2021;9;Requirements Exemple Text;Sondages - Repiquage des surfaces;163;lundi 03 mai 2021;vendredi 07 mai 2021;5;4;162;EqC;;Etage Jaune;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Passivation des fers;164;lundi 10 mai 2021;jeudi 13 mai 2021;4;4;162;EqB;;Etage Jaune;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Mortier de réparation;165;jeudi 13 mai 2021;lundi 17 mai 2021;3;4;164;EqD;;Etage Jaune;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
;;;;;;;;;;;;Mise en oeuvre de capotages;166;lundi 17 mai 2021;mardi 18 mai 2021;2;4;165;EqC;;Etage Jaune;;A, B, C, D;Task describtion here;Not Ready;No;No;No;No;No;No;No;;;;;;;
